channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
google,2.5,3,0.0131095689643795,0.012990322509625266,0.0127117484939905,0.0131496500705058,,13500947.210130122,13378140.724653253,0.0004379015765153
google,4.0,3,0.0125345158274285,0.012474887354247633,0.0119924670682909,0.0128976791670235,,12908726.20987524,12847317.564722762,0.0009052120987325992
liveintent,0.5,3,0.1020089813818534,0.1027635990631663,0.1007171622943133,0.1055646535133322,,8140185.868157353,8200403.3911839845,0.0048474912190189096
liveintent,1.0,3,0.1015678732174759,0.10032771375392457,0.0964199060046424,0.1029953620396554,,8104986.002445986,8006022.867997336,0.006575456035013
liveintent,1.5,3,0.0961201129201799,0.0954342365937514,0.0903505469113588,0.0998320499497155,,7588163.641899588,7588163.641899588,0.009481503038356709
liveintent,2.5,3,0.0928552331232155,0.09163531516212968,0.0869979035388678,0.0950528088243057,,7409728.498558626,7312380.6100431075,0.008054905285437897
liveintent,4.0,3,0.0846386497126271,0.08423182586932343,0.0782214426916713,0.0898353852036719,,6754055.681740302,6721591.660874399,0.011613942512000597
meta,0.5,3,0.0224972122271234,0.022746243929593863,0.0224462039132292,0.023295315648429,,1890121.5676707823,1911044.1685299997,0.0008491117351998
meta,1.0,3,0.0230624039315929,0.023107706601990134,0.0225827118366335,0.023678004037744,,1937606.6080260696,1941412.7486948082,0.001095292201110501
meta,1.5,3,0.0240915902036552,0.02441932744294813,0.0239143345039337,0.0252520576212555,,2065377.1947872487,2065377.1947872487,0.0013377231173218006
meta,2.5,3,0.0265739754478757,0.02712381631860297,0.0251799962607522,0.029617477247181,,2232634.142652888,2278829.4702364323,0.0044374809864288
meta,4.0,3,0.0310995437693782,0.033270312685571166,0.0279034792119637,0.0408079150753716,,2612853.442896973,2795232.3574710605,0.0129044358634079
moloco,0.5,3,0.0689349329068015,0.06868059584250051,0.0678983781176308,0.0692084765030692,,5805938.63037763,5784517.482572083,0.001310098385438399
moloco,1.0,3,0.0718577528217186,0.0708884553963111,0.0673223737378915,0.0734852396293232,,6052108.63937143,5970471.055505097,0.006162865891431696
moloco,1.5,3,0.0742107754107564,0.07416003971257136,0.0716575510365267,0.076611792690431,,6243878.641391609,6243878.641391609,0.004954241653904304
moloco,2.5,3,0.0823746626699964,0.08312698699430457,0.0768185901238272,0.0901877081890901,,6937879.185385705,7001242.543742474,0.013369118065262892
moloco,4.0,3,0.0943814126340051,0.09623613914888762,0.0868631375581026,0.1074638672545552,,7949129.222222185,8105340.708437756,0.020600729696452602
snapchat,0.5,3,0.030385622602577,0.030504232581394366,0.0303177567912886,0.0308093183503175,,13194764.909207111,13246270.54418622,0.000491561559028901
snapchat,1.0,3,0.0304859442776069,0.029849726234355698,0.0282847579491014,0.0307784764763588,,13238328.963649267,12962055.292331325,0.0024937185272574
snapchat,1.5,3,0.0307745663526778,0.030718420374517597,0.03047987430046,0.030900820470415,,13327089.723624853,13327089.723624853,0.0004209461699549999
snapchat,2.5,3,0.0310961568262428,0.031032242644060803,0.0305596695592006,0.031440901546739,,13503309.913001806,13475555.582630305,0.0008812319875384014
snapchat,4.0,3,0.030713611083726,0.030742722583624166,0.0305916634434834,0.0309228932236631,,13337191.837833611,13349833.322996996,0.0003312297801796975
tiktok,0.5,3,0.0149646914024682,0.015539978886954466,0.0125519489989771,0.0191032962594181,,2622839.028736261,2723668.8037361796,0.006551347260441001
tiktok,1.0,3,0.0284043109122042,0.0305361311264439,0.0217225539117741,0.0414815285553534,,4978380.993048798,5352021.926214621,0.0197589746435793
tiktok,1.5,3,0.0448725035879761,0.04831289130056066,0.0343755052424967,0.0656906650712092,,8769223.831494087,8769223.831494087,0.031315159828712504
tiktok,2.5,3,0.0818439399823546,0.09016889499086471,0.0609537439110378,0.1277090010792017,,14344664.669520836,15803767.054030573,0.06675525716816388
tiktok,4.0,3,0.1514260044197241,0.17391336785836345,0.1074756851916511,0.2628384139637152,,26540208.79389036,30481535.273266483,0.1553627287720641
