channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
google,1.0,3,0.0211247204542936,0.026315032761906134,0.0142633321435035,0.0435570456879213,,21755386.19592388,27100652.135602485,0.029293713544417798
google,1.5,3,0.0339982609683647,0.04430223701120763,0.0228014183436365,0.0761070317216217,,35013258.46923793,45624853.4794826,0.0533056133779852
google,2.0,3,0.0496014464413747,0.06339674957872674,0.0310864568160225,0.109502345478783,,51082267.59939036,65289421.161128215,0.0784158886627605
google,2.5,3,0.0674287156729648,0.08414089080153232,0.04173421453995,0.1432597421916822,,69441759.16241956,86652866.16298594,0.1015255276517322
google,3.0,3,0.0856453183665871,0.2002035461298914,0.0533069972367957,0.4616583227862914,,88202207.50231278,206180501.80938575,0.40835132554949566
liveintent,0.5,3,0.1029184299296078,0.104781804666337,0.0983934772899374,0.1130335067794658,,8616343.774770439,8616343.774770439,0.014640029489528403
liveintent,1.0,3,0.0961245492481005,0.09356057343512973,0.0816673062485642,0.1028898648087245,,7670615.731798483,7466013.750714935,0.021222558560160296
liveintent,1.5,3,0.0863342331761183,0.08321084029455146,0.0670656066139539,0.0962326810935822,,6889361.067215385,6640118.321617726,0.029167074479628297
liveintent,2.0,3,0.07741961135723,0.07404987036949019,0.0577360494539607,0.0869939502972799,,6177985.68078308,5909084.672301588,0.029257900843319196
liveintent,2.5,3,0.0694806013295116,0.06698390563652434,0.0501326599589083,0.0813384556211531,,5544462.863876597,5345229.750068055,0.031205795662244802
liveintent,3.0,3,0.0753864804926949,0.08010567675823237,0.0634257373493164,0.1015048124326858,,6015744.445674079,6392330.254388201,0.0380790750833694
meta,0.5,3,0.0172422291442732,0.0200949593995675,0.0130505430384801,0.0299921060159492,,1272535.9362109886,1272535.9362109886,0.0169415629774691
meta,1.0,3,0.0343202913269245,0.04315014716004947,0.0245141591469291,0.0706159910062948,,2883447.1662918134,3625294.6797135756,0.0461018318593657
meta,1.5,3,0.0553262256272137,0.07683863912812533,0.037324101862808,0.1378655898943543,,4648277.807049332,6455660.709438582,0.1005414880315463
meta,2.0,3,0.0835188602718214,0.1250215497297338,0.0512121226747209,0.2403336662426591,,7016904.917522618,10503787.09958102,0.1891215435679382
meta,2.5,3,0.1210751107273002,0.18760967175579732,0.0688795398113628,0.3728743647287289,,10172223.819709226,15762179.033975808,0.3039948249173661
meta,3.0,3,0.1711850632789234,0.5884915406422483,0.0913768903600672,1.502912668287754,,14382252.20529703,49442595.02600368,1.411535777927687
moloco,0.5,3,0.0729335408184367,0.07308554703460277,0.0726124905938437,0.0737106096915279,,6175438.942660596,6175438.942660596,0.0010981190976842026
moloco,1.0,3,0.0723766011077289,0.07262540127875074,0.0723587608601277,0.0731408418683956,,6095807.837731788,6116762.649222404,0.0007820810082679042
moloco,1.5,3,0.0723128008702769,0.0713027995507905,0.0680977734306361,0.0734978243514585,,6090434.360923584,6005368.554223423,0.005400050920822408
moloco,2.0,3,0.0719258357413734,0.06857999762170947,0.0614057417567043,0.0724084153670507,,6057842.81849694,5776044.752250758,0.011002673610346396
moloco,2.5,3,0.0703066590304176,0.06560023954370987,0.0531079453385124,0.0733861142621996,,5921470.151996259,5525079.214101512,0.020278168923687195
moloco,3.0,3,0.0718915848216662,0.08116994785933956,0.0650715324181752,0.1065467263381773,,6054958.087498175,6836413.934563789,0.041475193920002096
snapchat,0.5,3,0.0315990341625486,0.03128585008800853,0.0302688209277888,0.0319896951736882,,13806502.26327249,13806502.26327249,0.0017208742458994022
snapchat,1.0,3,0.0306269046959156,0.029507098644583733,0.0270541885250713,0.0308402027127643,,13299540.135966305,12813271.42314492,0.0037860141876930008
snapchat,1.5,3,0.0282688223159251,0.02717539787370087,0.0226213493667698,0.0306360219384077,,12275557.739835331,11800745.074324703,0.0080146725716379
snapchat,2.0,3,0.0261264992899183,0.02445666923633923,0.019117265807193,0.0281262426119064,,11345267.481924225,10620154.316283977,0.009008976804713398
snapchat,2.5,3,0.0237865116249304,0.022381714854402334,0.0161054396210238,0.0272531933172528,,10329142.601621743,9719118.467024641,0.011147753696228998
snapchat,3.0,3,0.0255201960246389,0.0281520077129567,0.0209541599524285,0.0379816671618027,,11081984.114205182,12224831.735491432,0.0170275072093742
tiktok,0.5,3,0.0202810319518903,0.0242143621806624,0.0153543900809017,0.0370076645091952,,3122883.4995447733,3122883.4995447733,0.021653274428293505
tiktok,1.0,3,0.0419226198472703,0.053332777375407064,0.03011165694256,0.0879640553363909,,7347714.734976647,9347555.940114358,0.0578523983938309
tiktok,1.5,3,0.0697086549208809,0.0939157144246726,0.0464975398305493,0.1655409485225876,,12217731.448644416,16460466.47938578,0.1190434086920383
tiktok,2.0,3,0.1046480943759282,0.1453829711463509,0.064692312204279,0.2668085068588455,,18341514.624671087,25481055.411098856,0.20211619465456648
tiktok,2.5,3,0.1481538973500331,0.20320170236027071,0.0868797026295215,0.3745715071012576,,25966711.492958784,35614857.75565427,0.2876918044717361
tiktok,3.0,3,0.2030437163077295,0.48477885983884333,0.1145889512387414,1.136703911970059,,35587167.7770602,84966464.03826742,1.0221149607313176
