target_channel,channel,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason
google,tiktok,LogNormal,1.0,1.0,0.5083696613895397,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=google|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.011570843570199774,False,baseline_qc=REVIEW
liveintent,amazon,LogNormal,1.0,1.0,0.9899611804820596,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.02014534389196697,False,baseline_qc=REVIEW
liveintent,beehiiv,LogNormal,1.0,1.0,1.1566906332907578,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.03067068433955244,False,baseline_qc=REVIEW
liveintent,google,LogNormal,1.0,1.0,0.3345588072311754,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.026237647156369767,False,baseline_qc=REVIEW
liveintent,liveintent,LogNormal,1.0,1.0,0.8825071824466189,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.33011167631043115,False,baseline_qc=REVIEW
liveintent,meta,LogNormal,1.0,1.0,0.5015559026940415,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.0036875224977221755,False,baseline_qc=REVIEW
liveintent,moloco,LogNormal,1.0,1.0,0.9453336346242576,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.005894991184921684,False,baseline_qc=REVIEW
liveintent,snapchat,LogNormal,1.0,1.0,0.605778031134978,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.01582525387886862,False,baseline_qc=REVIEW
liveintent,tiktok,LogNormal,1.0,1.0,0.5083696613895397,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=liveintent|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.010285042418985977,False,baseline_qc=REVIEW
meta,amazon,LogNormal,1.0,1.0,0.9899611804820596,"multi|amazon,beehiiv,google,liveintent,meta,moloco,snapchat,tiktok|pmode=roi|rpk=40.0|target=meta|mu=1.000000|sigma=1.000000|dist=LogNormal|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric",REVIEW,False,False,4,0.017602655139475117,False,baseline_qc=REVIEW
