channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
liveintent,3.5,3,3.315176649093628,3.31186593166656,3.167326104392608,3.453095041513443,274.82789424387505,105818737.69870944,105713061.29708986,0.2857689371208352
liveintent,4.0,3,3.820148053864638,3.7934192470047208,3.611812367141247,3.948297320008278,331.9220971592575,121937165.84986743,121083996.04883064,0.3364849528670306
liveintent,4.5,3,4.314629576305548,4.288961740103033,4.107796914378802,4.444458729624748,387.83026960904397,137720762.33916432,136901458.1771523,0.3366618152459466
liveintent,5.0,3,4.789489388863245,4.767505125800768,4.569986815452576,4.943039173086484,441.51992854492767,152878043.91643393,152176317.5190959,0.37305235763390865
meta,0.5,3,0.2400009637184363,0.2602668896752584,0.1961723354369072,0.3446273698704317,-51.65837034358898,8065550.401646238,8746613.697010927,0.14845503443352448
meta,1.0,3,0.4964685001814117,0.5339096039329242,0.3918982976217133,0.7133620139956475,0.0,18571868.654551275,18571868.654551275,0.32146371637393417
meta,1.5,3,0.7550096979985634,0.8069366567002403,0.5927799236029386,1.073020348499219,52.076052704789866,25373101.33505657,27118175.588608008,0.48024042489628027
meta,2.0,3,1.0226020111888647,1.0878542750742701,0.7960910516232252,1.4448697624107203,105.97520503621107,34365895.595922634,36558784.38701389,0.648778710787495
meta,2.5,3,1.2882331986228626,1.374454974660443,1.0087745145832498,1.8263572107752164,159.4793422245594,43292783.62713711,46190380.65998242,0.8175826961919666
meta,3.0,3,1.5620285525421302,1.6589342509541247,1.2031044579545658,2.2116697423656784,214.6279274458215,52494039.2911067,55750683.6921918,1.0085652844111126
meta,3.5,3,1.8336686627566812,1.9551950077712537,1.4190709591905275,2.612845401366552,269.3423977727994,61622865.13455018,65706918.98857055,1.1937744421760246
meta,4.0,3,2.116057420969009,2.259005840222041,1.6299878519773483,3.030972247719765,326.221889242881,71112913.53657192,75916884.58092825,1.4009843957424166
meta,4.5,3,2.417831978499889,2.5769139738049773,1.857739834437768,3.4551701084772746,387.006119747054,81254447.4120579,86600608.65761407,1.5974302740395065
meta,5.0,3,2.7309255313873293,2.903876607947879,2.075864037871361,3.904840254584948,450.07025226966823,91776371.12485904,97588621.22338201,1.828976216713587
moloco,0.5,3,0.470895701314245,0.47488193658836986,0.4215750550679513,0.5321750533829133,,15864186.286134126,15998480.098527359,0.11059999831496198
moloco,1.0,3,0.935886217902104,0.9373836742248386,0.8554349187233796,1.020829886049032,0.0,31605103.106646456,31605103.106646456,0.1653949673256523
moloco,1.5,3,1.4058792556946476,1.3897294523235824,1.268877852621178,1.4944312486549218,,47363206.64194772,46819129.708461255,0.2255533960337439
moloco,2.0,3,1.841233750830094,1.8264425661994352,1.6709618931512038,1.9671320546170077,,62030031.57166951,61531725.66715928,0.2961701614658039
moloco,2.5,3,2.2753482288122178,2.2616884176019165,2.0658675714582206,2.443849452535311,,76655081.08687083,76194890.45640035,0.3779818810770905
moloco,3.0,3,2.714158668816089,2.6951724315683045,2.4538469257950783,2.9175117000937463,,91438334.67167331,90798700.02703555,0.4636647742986679
moloco,3.5,3,3.126230557858944,3.1189812909894523,2.841643535792828,3.3890697793165843,,105320782.93529116,105076559.59722595,0.5474262435237565
moloco,4.0,3,3.5460335272550583,3.5368787879082895,3.1999577658375102,3.864645070632299,,119463686.53663,119155269.00384553,0.6646873047947888
moloco,4.5,3,3.966981445352237,3.963167262838947,3.586856235563755,4.335664107600848,,133645162.75485843,133516665.29405922,0.7488078720370925
moloco,5.0,3,4.379011845390002,4.381400857534673,3.960065932969252,4.805124794244766,,147526213.2794361,147606697.62787488,0.8450588612755143
snapchat,0.5,3,0.2976539864222286,0.3056280921776973,0.2370756706825341,0.3821546194283292,-51.644843686665915,51701746.269915745,53086828.31586522,0.14507894874579508
snapchat,1.0,3,0.6155579034704715,0.6364452712988067,0.4810777082837497,0.8127002021421988,0.0,112362979.00539193,112362979.00539193,0.33162249385844916
snapchat,1.5,3,0.9233652312929432,0.9712418629663686,0.744395546062539,1.2459648115436237,50.004609816083274,160386210.43378258,168702260.53205466,0.5015692654810847
snapchat,2.0,3,1.2773299578328927,1.316542002239989,1.0077197431400418,1.6645763057470322,107.50768540723753,221868990.15408772,228680023.3105009,0.6568565626069904
snapchat,2.5,3,1.6022970484693846,1.6569037521796093,1.2834269940604766,2.084987214008967,160.29997169003084,278314953.6975677,287800000.3243502,0.8015602199484904
snapchat,3.0,3,1.9370357501506803,1.9962808471338616,1.5587195975830157,2.4930871936678884,214.6796977554526,336458221.4194978,346748945.2521561,0.9343675960848727
