channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,dist_normalized,is_baseline,estimated_roi,baseline_roi,pct_change,delta_abs,delta_pct,contribution_value,contribution_delta,contribution_share,run_contribution_total,effect_value,effect_share,channel_total_spend,spend_share,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.0758685,1.0271761,-92.61387604326075,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.12315204,1.0271761,-88.01062057421312,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.24465868,1.0271761,-76.18142789731965,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.21974447,1.0271761,-78.60693312470958,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.3610599,1.0271761,-64.84926976007327,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.006689,LogNormal,lognormal,False,0.9956008,1.0271761,-3.0739909154817733,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,1.0637603,1.0271761,3.561628819050606,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,0.038751815,1.0271761,-96.22734456146323,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,0.071520224,1.0271761,-93.03719936630145,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,0.13417116,1.0271761,-86.93786196933516,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,0.2337956,1.0271761,-77.23899533877395,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,0.21891852,1.0271761,-78.68734290059903,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,0.36909214,1.0271761,-64.06729673714176,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.011706,LogNormal,lognormal,False,1.0604002,1.0271761,3.234508668961435,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,1.0493568,1.0271761,2.159386301920387,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.037877224,1.0271761,-96.31248974737632,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.06924437,1.0271761,-93.25876351679132,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.1383185,1.0271761,-86.53410062792543,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.22394887,1.0271761,-78.19761674750805,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.26048878,1.0271761,-74.64029974996497,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.32610154,1.0271761,-68.25261608014438,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.016722,LogNormal,lognormal,False,0.83396804,1.0271761,-18.80963351853688,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,1.0138419,1.0271761,-1.2981415747504106,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,0.03389693,1.0271761,-96.69998844404576,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,0.07337464,1.0271761,-92.85666401311322,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,0.12732668,1.0271761,-87.6042014606843,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,0.22132583,1.0271761,-78.45298094455273,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,0.2431385,1.0271761,-76.32942394200956,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,0.38124865,1.0271761,-62.88380833627261,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.023411,LogNormal,lognormal,False,1.0801767,1.0271761,5.159835786677676,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.9839977,1.0271761,-4.203602478679162,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.04050658,1.0271761,-96.05651066063551,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.06361888,1.0271761,-93.80642910207898,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.14365512,1.0271761,-86.01455777641243,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.24203691,1.0271761,-76.43666845441595,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.2321125,1.0271761,-77.40285234440327,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.3860852,1.0271761,-62.412949444598645,,,,,,,,,,,,,,,geometric
meta,meta,0.072657,0.033445,LogNormal,lognormal,False,0.924559,1.0271761,-9.99021492030431,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,1.1053698,1.0271761,7.612492152027306,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,0.038637944,1.0271761,-96.23843039182863,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,0.06688227,1.0271761,-93.48872408538323,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,0.13436857,1.0271761,-86.91864325893096,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,0.21408542,1.0271761,-79.15786591997224,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,0.2512357,1.0271761,-75.5411267843946,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,0.35439247,1.0271761,-65.4983726743642,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.006689,LogNormal,lognormal,False,1.0441434,1.0271761,1.651839446030737,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,1.0975738,1.0271761,6.853518106583673,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.03943222,1.0271761,-96.16110421572309,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.06269363,1.0271761,-93.89650615897312,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.14249773,1.0271761,-86.12723465820514,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.2332598,1.0271761,-77.29115776739742,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.25346082,1.0271761,-75.32450180645753,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.3204251,1.0271761,-68.8052418665115,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.011706,LogNormal,lognormal,False,0.9043744,1.0271761,-11.95527232380114,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,1.0797288,1.0271761,5.116230800152001,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.039388694,1.0271761,-96.165341658553,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.062643915,1.0271761,-93.90134612750433,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.13276264,1.0271761,-87.074987433995,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.22695105,1.0271761,-77.9053416449234,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.22635575,1.0271761,-77.96329665380648,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.32626742,1.0271761,-68.23646695050635,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.016722,LogNormal,lognormal,False,0.91111505,1.0271761,-11.29904112839073,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,1.0547235,1.0271761,2.6818575704789085,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,0.03918792,1.0271761,-96.18488786878899,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,0.06866812,1.0271761,-93.31486392644845,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,0.14688842,1.0271761,-85.69978215030508,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,0.22337356,1.0271761,-78.25362564413248,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,0.22797044,1.0271761,-77.80609965516138,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,0.3253752,1.0271761,-68.32332839519923,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.023411,LogNormal,lognormal,False,1.0629365,1.0271761,3.4814283548848177,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.033445,LogNormal,lognormal,False,1.0011163,1.0271761,-2.537033328559714,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.033445,LogNormal,lognormal,False,0.03492412,1.0271761,-96.59998709082113,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.033445,LogNormal,lognormal,False,0.07432676,1.0271761,-92.76397104644471,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.033445,LogNormal,lognormal,False,0.13816968,1.0271761,-86.54858889337476,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.033445,LogNormal,lognormal,False,0.23609033,1.0271761,-77.01559352870457,,,,,,,,,,,,,,,geometric
meta,meta,0.103795,0.033445,LogNormal,lognormal,False,0.24819557,1.0271761,-75.83709648228769,,,,,,,,,,,,,,,geometric
