channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason,pct_change_raw,baseline_roi_for_rank,pct_source_row,abs_pct_change_raw,abs_delta_roi,pct_change,abs_pct_change,prior_neg_prob,prior_guardrail_pass
meta,0.25067508,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-75.59570554649783,1.0271761,fallback_baseline,75.59570554649783,0.77650102,-75.59570554649783,75.59570554649783,0.0,1.0
meta,0.35591322,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-65.35032113772897,1.0271761,fallback_baseline,65.35032113772897,0.67126288,-65.35032113772897,65.35032113772897,0.0,1.0
meta,1.0892661,meta,0.020759,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,6.044727870907431,1.0271761,fallback_baseline,6.044727870907431,0.06208999999999998,6.044727870907431,6.044727870907431,0.0,1.0
meta,0.9206899,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-10.36688840404289,1.0271761,fallback_baseline,10.36688840404289,0.10648619999999998,-10.36688840404289,10.36688840404289,0.0,1.0
meta,0.03614501,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.4811282116085,1.0271761,fallback_baseline,96.4811282116085,0.9910310899999999,-96.4811282116085,96.4811282116085,0.0,1.0
meta,0.07315523,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-92.87802451789912,1.0271761,fallback_baseline,92.87802451789912,0.9540208699999999,-92.87802451789912,92.87802451789912,0.0,1.0
meta,0.13691875,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-86.67037229546132,1.0271761,fallback_baseline,86.67037229546132,0.89025735,-86.67037229546132,86.67037229546132,0.0,1.0
meta,0.22362372,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-78.22927149492672,1.0271761,fallback_baseline,78.22927149492672,0.80355238,-78.22927149492672,78.22927149492672,0.0,1.0
meta,0.22295661,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-78.29421751538028,1.0271761,fallback_baseline,78.29421751538028,0.8042194899999999,-78.29421751538028,78.29421751538028,0.0,1.0
meta,0.3938815,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-61.653946192868,1.0271761,fallback_baseline,61.653946192868,0.6332945999999999,-61.653946192868,61.653946192868,0.0,1.0
