channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
google,0.028869748,tiktok,0.036328,0.033445,LogNormal
snapchat,0.064793065,tiktok,0.036328,0.033445,LogNormal
tiktok,0.8836096,tiktok,0.036328,0.033445,LogNormal
moloco,0.28788796,tiktok,0.036328,0.033445,LogNormal
liveintent,0.22454365,tiktok,0.036328,0.033445,LogNormal
beehiiv,0.32266545,tiktok,0.036328,0.033445,LogNormal
amazon,0.87570775,tiktok,0.036328,0.033445,LogNormal
meta,-0.051674478,tiktok,0.051898,0.006689,Normal
google,-0.03841499,tiktok,0.051898,0.006689,Normal
snapchat,0.0038972553,tiktok,0.051898,0.006689,Normal
tiktok,0.051573835,tiktok,0.051898,0.006689,Normal
moloco,0.13402116,tiktok,0.051898,0.006689,Normal
liveintent,0.4912192,tiktok,0.051898,0.006689,Normal
beehiiv,0.20978549,tiktok,0.051898,0.006689,Normal
amazon,0.29690215,tiktok,0.051898,0.006689,Normal
meta,0.0963108,tiktok,0.051898,0.006689,LogNormal
google,0.027719337,tiktok,0.051898,0.006689,LogNormal
snapchat,0.05847801,tiktok,0.051898,0.006689,LogNormal
tiktok,1.0419501,tiktok,0.051898,0.006689,LogNormal
moloco,0.23147085,tiktok,0.051898,0.006689,LogNormal
liveintent,0.20922165,tiktok,0.051898,0.006689,LogNormal
beehiiv,0.26818678,tiktok,0.051898,0.006689,LogNormal
amazon,0.7642939,tiktok,0.051898,0.006689,LogNormal
meta,-0.020189036,tiktok,0.051898,0.011706,Normal
google,-0.03775059,tiktok,0.051898,0.011706,Normal
snapchat,-0.015720613,tiktok,0.051898,0.011706,Normal
tiktok,0.052447956,tiktok,0.051898,0.011706,Normal
moloco,0.11225136,tiktok,0.051898,0.011706,Normal
liveintent,0.4557495,tiktok,0.051898,0.011706,Normal
beehiiv,0.27164474,tiktok,0.051898,0.011706,Normal
amazon,0.17774037,tiktok,0.051898,0.011706,Normal
meta,0.1142331,tiktok,0.051898,0.011706,LogNormal
google,0.027539864,tiktok,0.051898,0.011706,LogNormal
snapchat,0.06193166,tiktok,0.051898,0.011706,LogNormal
tiktok,1.0241766,tiktok,0.051898,0.011706,LogNormal
moloco,0.25795385,tiktok,0.051898,0.011706,LogNormal
liveintent,0.21008126,tiktok,0.051898,0.011706,LogNormal
beehiiv,0.2734623,tiktok,0.051898,0.011706,LogNormal
amazon,0.80163395,tiktok,0.051898,0.011706,LogNormal
meta,-0.020284835,tiktok,0.051898,0.016722,Normal
google,-0.031550605,tiktok,0.051898,0.016722,Normal
