channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
liveintent,0.334805,snapchat,0.051898,0.006689,Normal
beehiiv,0.24811235,snapchat,0.051898,0.006689,Normal
amazon,0.32763308,snapchat,0.051898,0.006689,Normal
meta,0.41445088,snapchat,0.051898,0.006689,LogNormal
google,0.07134742,snapchat,0.051898,0.006689,LogNormal
snapchat,1.0446112,snapchat,0.051898,0.006689,LogNormal
tiktok,0.25913632,snapchat,0.051898,0.006689,LogNormal
moloco,0.40456754,snapchat,0.051898,0.006689,LogNormal
liveintent,0.40224782,snapchat,0.051898,0.006689,LogNormal
beehiiv,0.534874,snapchat,0.051898,0.006689,LogNormal
amazon,1.391347,snapchat,0.051898,0.006689,LogNormal
meta,-0.06855496,snapchat,0.051898,0.011706,Normal
google,-0.051428508,snapchat,0.051898,0.011706,Normal
snapchat,0.05077235,snapchat,0.051898,0.011706,Normal
tiktok,-0.009824102,snapchat,0.051898,0.011706,Normal
moloco,0.10908463,snapchat,0.051898,0.011706,Normal
liveintent,0.46239915,snapchat,0.051898,0.011706,Normal
beehiiv,0.2971503,snapchat,0.051898,0.011706,Normal
amazon,0.3307644,snapchat,0.051898,0.011706,Normal
meta,0.3944695,snapchat,0.051898,0.011706,LogNormal
google,0.069865175,snapchat,0.051898,0.011706,LogNormal
snapchat,1.0329393,snapchat,0.051898,0.011706,LogNormal
tiktok,0.25676125,snapchat,0.051898,0.011706,LogNormal
moloco,0.39819402,snapchat,0.051898,0.011706,LogNormal
liveintent,0.40138206,snapchat,0.051898,0.011706,LogNormal
beehiiv,0.52554905,snapchat,0.051898,0.011706,LogNormal
amazon,1.3988556,snapchat,0.051898,0.011706,LogNormal
meta,-0.064270265,snapchat,0.051898,0.016722,Normal
google,-0.02995626,snapchat,0.051898,0.016722,Normal
snapchat,0.038257055,snapchat,0.051898,0.016722,Normal
tiktok,-0.031418893,snapchat,0.051898,0.016722,Normal
moloco,0.08972616,snapchat,0.051898,0.016722,Normal
liveintent,0.37497616,snapchat,0.051898,0.016722,Normal
beehiiv,0.24729177,snapchat,0.051898,0.016722,Normal
amazon,0.39342976,snapchat,0.051898,0.016722,Normal
meta,0.34344682,snapchat,0.051898,0.016722,LogNormal
google,0.06626675,snapchat,0.051898,0.016722,LogNormal
snapchat,1.0300462,snapchat,0.051898,0.016722,LogNormal
tiktok,0.23694865,snapchat,0.051898,0.016722,LogNormal
moloco,0.38314754,snapchat,0.051898,0.016722,LogNormal
liveintent,0.3965407,snapchat,0.051898,0.016722,LogNormal
beehiiv,0.5268835,snapchat,0.051898,0.016722,LogNormal
amazon,1.3305118,snapchat,0.051898,0.016722,LogNormal
meta,-0.07454357,snapchat,0.051898,0.023411,Normal
google,-0.031591695,snapchat,0.051898,0.023411,Normal
snapchat,0.035053212,snapchat,0.051898,0.023411,Normal
tiktok,-0.045875415,snapchat,0.051898,0.023411,Normal
moloco,0.10019467,snapchat,0.051898,0.023411,Normal
liveintent,0.40572983,snapchat,0.051898,0.023411,Normal
beehiiv,0.3128373,snapchat,0.051898,0.023411,Normal
amazon,0.43031088,snapchat,0.051898,0.023411,Normal
meta,0.35581827,snapchat,0.051898,0.023411,LogNormal
google,0.069198735,snapchat,0.051898,0.023411,LogNormal
snapchat,0.99508333,snapchat,0.051898,0.023411,LogNormal
tiktok,0.25831023,snapchat,0.051898,0.023411,LogNormal
moloco,0.4051463,snapchat,0.051898,0.023411,LogNormal
liveintent,0.38032636,snapchat,0.051898,0.023411,LogNormal
beehiiv,0.52636397,snapchat,0.051898,0.023411,LogNormal
amazon,1.3811173,snapchat,0.051898,0.023411,LogNormal
meta,-0.06294547,snapchat,0.051898,0.033445,Normal
google,-0.02843893,snapchat,0.051898,0.033445,Normal
snapchat,0.019855851,snapchat,0.051898,0.033445,Normal
tiktok,-0.056295834,snapchat,0.051898,0.033445,Normal
moloco,0.08493024,snapchat,0.051898,0.033445,Normal
liveintent,0.440389,snapchat,0.051898,0.033445,Normal
