channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
tiktok,-0.06372547,liveintent,0.051898,0.006689,Normal
moloco,0.17177014,liveintent,0.051898,0.006689,Normal
liveintent,0.050727755,liveintent,0.051898,0.006689,Normal
beehiiv,0.39704224,liveintent,0.051898,0.006689,Normal
amazon,0.36237127,liveintent,0.051898,0.006689,Normal
meta,0.08827429,liveintent,0.051898,0.006689,LogNormal
google,0.03657248,liveintent,0.051898,0.006689,LogNormal
snapchat,0.06882149,liveintent,0.051898,0.006689,LogNormal
tiktok,0.11997382,liveintent,0.051898,0.006689,LogNormal
moloco,0.24865755,liveintent,0.051898,0.006689,LogNormal
liveintent,1.0509341,liveintent,0.051898,0.006689,LogNormal
beehiiv,0.3577162,liveintent,0.051898,0.006689,LogNormal
amazon,0.7884327,liveintent,0.051898,0.006689,LogNormal
meta,-0.027882362,liveintent,0.051898,0.011706,Normal
google,-0.010606877,liveintent,0.051898,0.011706,Normal
snapchat,0.02398498,liveintent,0.051898,0.011706,Normal
tiktok,-0.013458592,liveintent,0.051898,0.011706,Normal
moloco,0.10307618,liveintent,0.051898,0.011706,Normal
liveintent,0.05127542,liveintent,0.051898,0.011706,Normal
beehiiv,0.35282093,liveintent,0.051898,0.011706,Normal
amazon,0.25515056,liveintent,0.051898,0.011706,Normal
meta,0.081927374,liveintent,0.051898,0.011706,LogNormal
google,0.039184224,liveintent,0.051898,0.011706,LogNormal
snapchat,0.071488515,liveintent,0.051898,0.011706,LogNormal
tiktok,0.10762973,liveintent,0.051898,0.011706,LogNormal
moloco,0.25029886,liveintent,0.051898,0.011706,LogNormal
liveintent,1.0428318,liveintent,0.051898,0.011706,LogNormal
beehiiv,0.341645,liveintent,0.051898,0.011706,LogNormal
amazon,0.79370224,liveintent,0.051898,0.011706,LogNormal
meta,-0.06487871,liveintent,0.051898,0.016722,Normal
google,-0.008803249,liveintent,0.051898,0.016722,Normal
snapchat,0.046791457,liveintent,0.051898,0.016722,Normal
tiktok,-0.02434343,liveintent,0.051898,0.016722,Normal
moloco,0.1289263,liveintent,0.051898,0.016722,Normal
liveintent,0.054394364,liveintent,0.051898,0.016722,Normal
beehiiv,0.25079215,liveintent,0.051898,0.016722,Normal
amazon,0.3605189,liveintent,0.051898,0.016722,Normal
meta,0.09001041,liveintent,0.051898,0.016722,LogNormal
google,0.034743957,liveintent,0.051898,0.016722,LogNormal
snapchat,0.06429622,liveintent,0.051898,0.016722,LogNormal
tiktok,0.113716625,liveintent,0.051898,0.016722,LogNormal
moloco,0.24177165,liveintent,0.051898,0.016722,LogNormal
liveintent,1.0490867,liveintent,0.051898,0.016722,LogNormal
beehiiv,0.33194438,liveintent,0.051898,0.016722,LogNormal
amazon,0.8664702,liveintent,0.051898,0.016722,LogNormal
meta,-0.030203152,liveintent,0.051898,0.023411,Normal
google,-0.024403334,liveintent,0.051898,0.023411,Normal
snapchat,0.002390471,liveintent,0.051898,0.023411,Normal
tiktok,0.0017860003,liveintent,0.051898,0.023411,Normal
moloco,0.09981044,liveintent,0.051898,0.023411,Normal
liveintent,0.060671,liveintent,0.051898,0.023411,Normal
beehiiv,0.29971057,liveintent,0.051898,0.023411,Normal
amazon,0.26419812,liveintent,0.051898,0.023411,Normal
meta,0.08666097,liveintent,0.051898,0.023411,LogNormal
google,0.03878356,liveintent,0.051898,0.023411,LogNormal
snapchat,0.070997715,liveintent,0.051898,0.023411,LogNormal
tiktok,0.10801798,liveintent,0.051898,0.023411,LogNormal
moloco,0.25277963,liveintent,0.051898,0.023411,LogNormal
