channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
amazon,0.32053527,beehiiv,0.051898,0.016722,Normal
meta,0.09404297,beehiiv,0.051898,0.016722,LogNormal
google,0.040382713,beehiiv,0.051898,0.016722,LogNormal
snapchat,0.085260175,beehiiv,0.051898,0.016722,LogNormal
tiktok,0.11278584,beehiiv,0.051898,0.016722,LogNormal
moloco,0.26011395,beehiiv,0.051898,0.016722,LogNormal
liveintent,0.2092716,beehiiv,0.051898,0.016722,LogNormal
beehiiv,1.05078,beehiiv,0.051898,0.016722,LogNormal
amazon,0.7866358,beehiiv,0.051898,0.016722,LogNormal
meta,-0.04987378,beehiiv,0.051898,0.023411,Normal
google,-0.018104624,beehiiv,0.051898,0.023411,Normal
snapchat,-0.0060684336,beehiiv,0.051898,0.023411,Normal
tiktok,-0.025600199,beehiiv,0.051898,0.023411,Normal
moloco,0.08210624,beehiiv,0.051898,0.023411,Normal
liveintent,0.47080556,beehiiv,0.051898,0.023411,Normal
beehiiv,0.058160126,beehiiv,0.051898,0.023411,Normal
amazon,0.3025222,beehiiv,0.051898,0.023411,Normal
meta,0.0911458,beehiiv,0.051898,0.023411,LogNormal
google,0.042591937,beehiiv,0.051898,0.023411,LogNormal
snapchat,0.08656834,beehiiv,0.051898,0.023411,LogNormal
tiktok,0.11441751,beehiiv,0.051898,0.023411,LogNormal
moloco,0.23663041,beehiiv,0.051898,0.023411,LogNormal
liveintent,0.202921,beehiiv,0.051898,0.023411,LogNormal
beehiiv,1.0334337,beehiiv,0.051898,0.023411,LogNormal
amazon,0.7226471,beehiiv,0.051898,0.023411,LogNormal
meta,-0.06756027,beehiiv,0.051898,0.033445,Normal
google,-0.009309556,beehiiv,0.051898,0.033445,Normal
snapchat,0.003165643,beehiiv,0.051898,0.033445,Normal
tiktok,-0.037843764,beehiiv,0.051898,0.033445,Normal
moloco,0.16773741,beehiiv,0.051898,0.033445,Normal
liveintent,0.31179303,beehiiv,0.051898,0.033445,Normal
beehiiv,0.053920798,beehiiv,0.051898,0.033445,Normal
amazon,0.33555278,beehiiv,0.051898,0.033445,Normal
meta,0.09019281,beehiiv,0.051898,0.033445,LogNormal
google,0.045703985,beehiiv,0.051898,0.033445,LogNormal
snapchat,0.0850697,beehiiv,0.051898,0.033445,LogNormal
tiktok,0.11798328,beehiiv,0.051898,0.033445,LogNormal
moloco,0.24007623,beehiiv,0.051898,0.033445,LogNormal
liveintent,0.21080819,beehiiv,0.051898,0.033445,LogNormal
beehiiv,1.0276598,beehiiv,0.051898,0.033445,LogNormal
amazon,0.78883934,beehiiv,0.051898,0.033445,LogNormal
meta,-0.05610294,beehiiv,0.072657,0.006689,Normal
google,0.0025964058,beehiiv,0.072657,0.006689,Normal
snapchat,-0.022453737,beehiiv,0.072657,0.006689,Normal
tiktok,-0.034285914,beehiiv,0.072657,0.006689,Normal
moloco,0.10223059,beehiiv,0.072657,0.006689,Normal
liveintent,0.3825137,beehiiv,0.072657,0.006689,Normal
beehiiv,0.07377919,beehiiv,0.072657,0.006689,Normal
amazon,0.38738126,beehiiv,0.072657,0.006689,Normal
meta,0.08960505,beehiiv,0.072657,0.006689,LogNormal
google,0.042531107,beehiiv,0.072657,0.006689,LogNormal
snapchat,0.08410917,beehiiv,0.072657,0.006689,LogNormal
tiktok,0.11943847,beehiiv,0.072657,0.006689,LogNormal
moloco,0.22923699,beehiiv,0.072657,0.006689,LogNormal
liveintent,0.22995801,beehiiv,0.072657,0.006689,LogNormal
beehiiv,1.0744418,beehiiv,0.072657,0.006689,LogNormal
amazon,0.729121,beehiiv,0.072657,0.006689,LogNormal
meta,-0.053600956,beehiiv,0.072657,0.011706,Normal
google,-0.029844586,beehiiv,0.072657,0.011706,Normal
snapchat,-0.0038229465,beehiiv,0.072657,0.011706,Normal
tiktok,-0.043455176,beehiiv,0.072657,0.011706,Normal
moloco,0.14822458,beehiiv,0.072657,0.011706,Normal
liveintent,0.59447,beehiiv,0.072657,0.011706,Normal
beehiiv,0.07237287,beehiiv,0.072657,0.011706,Normal
amazon,0.36906832,beehiiv,0.072657,0.011706,Normal
meta,0.08940725,beehiiv,0.072657,0.011706,LogNormal
google,0.043666568,beehiiv,0.072657,0.011706,LogNormal
snapchat,0.08347615,beehiiv,0.072657,0.011706,LogNormal
tiktok,0.11294621,beehiiv,0.072657,0.011706,LogNormal
moloco,0.23266539,beehiiv,0.072657,0.011706,LogNormal
liveintent,0.22381718,beehiiv,0.072657,0.011706,LogNormal
beehiiv,1.0705093,beehiiv,0.072657,0.011706,LogNormal
amazon,0.7809967,beehiiv,0.072657,0.011706,LogNormal
meta,-0.036373038,beehiiv,0.072657,0.016722,Normal
google,-0.01820599,beehiiv,0.072657,0.016722,Normal
snapchat,-0.008708754,beehiiv,0.072657,0.016722,Normal
tiktok,-0.029006597,beehiiv,0.072657,0.016722,Normal
moloco,0.09659351,beehiiv,0.072657,0.016722,Normal
liveintent,0.442064,beehiiv,0.072657,0.016722,Normal
beehiiv,0.076397315,beehiiv,0.072657,0.016722,Normal
amazon,0.29379532,beehiiv,0.072657,0.016722,Normal
meta,0.11017352,beehiiv,0.072657,0.016722,LogNormal
google,0.050787408,beehiiv,0.072657,0.016722,LogNormal
snapchat,0.058303118,beehiiv,0.072657,0.016722,LogNormal
tiktok,0.117641665,beehiiv,0.072657,0.016722,LogNormal
moloco,0.18389581,beehiiv,0.072657,0.016722,LogNormal
liveintent,0.25050274,beehiiv,0.072657,0.016722,LogNormal
beehiiv,1.0764635,beehiiv,0.072657,0.016722,LogNormal
amazon,0.9350007,beehiiv,0.072657,0.016722,LogNormal
meta,-0.064222716,beehiiv,0.072657,0.023411,Normal
google,-0.0074164495,beehiiv,0.072657,0.023411,Normal
