channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
liveintent,0.21802935,moloco,0.051898,0.011706,LogNormal
beehiiv,0.32332617,moloco,0.051898,0.011706,LogNormal
amazon,0.65569293,moloco,0.051898,0.011706,LogNormal
meta,-0.04231824,moloco,0.051898,0.016722,Normal
google,-0.014653688,moloco,0.051898,0.016722,Normal
snapchat,0.0039632753,moloco,0.051898,0.016722,Normal
tiktok,-0.069178835,moloco,0.051898,0.016722,Normal
moloco,0.053962987,moloco,0.051898,0.016722,Normal
liveintent,0.38149998,moloco,0.051898,0.016722,Normal
beehiiv,0.32654926,moloco,0.051898,0.016722,Normal
amazon,0.39533797,moloco,0.051898,0.016722,Normal
meta,0.08845781,moloco,0.051898,0.016722,LogNormal
google,0.037436485,moloco,0.051898,0.016722,LogNormal
snapchat,0.07023452,moloco,0.051898,0.016722,LogNormal
tiktok,0.13409229,moloco,0.051898,0.016722,LogNormal
moloco,1.040879,moloco,0.051898,0.016722,LogNormal
liveintent,0.25073493,moloco,0.051898,0.016722,LogNormal
beehiiv,0.32673872,moloco,0.051898,0.016722,LogNormal
amazon,0.75608003,moloco,0.051898,0.016722,LogNormal
meta,-0.02949453,moloco,0.051898,0.023411,Normal
google,-0.022537628,moloco,0.051898,0.023411,Normal
snapchat,-0.017434333,moloco,0.051898,0.023411,Normal
tiktok,-0.06041056,moloco,0.051898,0.023411,Normal
moloco,0.058365088,moloco,0.051898,0.023411,Normal
liveintent,0.5428761,moloco,0.051898,0.023411,Normal
beehiiv,0.32051024,moloco,0.051898,0.023411,Normal
amazon,0.30055496,moloco,0.051898,0.023411,Normal
meta,0.08876932,moloco,0.051898,0.023411,LogNormal
google,0.04122152,moloco,0.051898,0.023411,LogNormal
snapchat,0.07602958,moloco,0.051898,0.023411,LogNormal
tiktok,0.12272738,moloco,0.051898,0.023411,LogNormal
moloco,1.0350939,moloco,0.051898,0.023411,LogNormal
liveintent,0.20265517,moloco,0.051898,0.023411,LogNormal
beehiiv,0.3412007,moloco,0.051898,0.023411,LogNormal
amazon,0.6183314,moloco,0.051898,0.023411,LogNormal
meta,-0.03735938,moloco,0.051898,0.033445,Normal
google,-0.026246715,moloco,0.051898,0.033445,Normal
snapchat,-0.018700108,moloco,0.051898,0.033445,Normal
tiktok,-0.053095214,moloco,0.051898,0.033445,Normal
moloco,0.057015985,moloco,0.051898,0.033445,Normal
liveintent,0.6203228,moloco,0.051898,0.033445,Normal
beehiiv,0.2914036,moloco,0.051898,0.033445,Normal
amazon,0.37409532,moloco,0.051898,0.033445,Normal
meta,0.08748357,moloco,0.051898,0.033445,LogNormal
google,0.038978416,moloco,0.051898,0.033445,LogNormal
snapchat,0.07070707,moloco,0.051898,0.033445,LogNormal
tiktok,0.12482865,moloco,0.051898,0.033445,LogNormal
moloco,1.0077857,moloco,0.051898,0.033445,LogNormal
liveintent,0.24413033,moloco,0.051898,0.033445,LogNormal
beehiiv,0.3566531,moloco,0.051898,0.033445,LogNormal
