channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,0.506237,google,0.051898,0.006689,LogNormal
google,1.0449479,google,0.051898,0.006689,LogNormal
snapchat,0.15305299,google,0.051898,0.006689,LogNormal
tiktok,0.3223554,google,0.051898,0.006689,LogNormal
moloco,0.48306227,google,0.051898,0.006689,LogNormal
liveintent,0.5382227,google,0.051898,0.006689,LogNormal
beehiiv,0.6893141,google,0.051898,0.006689,LogNormal
amazon,1.4038826,google,0.051898,0.006689,LogNormal
meta,-0.004662127,google,0.051898,0.011706,Normal
google,0.04732153,google,0.051898,0.011706,Normal
snapchat,-0.060200192,google,0.051898,0.011706,Normal
tiktok,-0.06880219,google,0.051898,0.011706,Normal
moloco,0.08232273,google,0.051898,0.011706,Normal
liveintent,0.13886568,google,0.051898,0.011706,Normal
beehiiv,0.27119952,google,0.051898,0.011706,Normal
amazon,0.21719703,google,0.051898,0.011706,Normal
meta,0.47099262,google,0.051898,0.011706,LogNormal
google,1.034481,google,0.051898,0.011706,LogNormal
snapchat,0.14665136,google,0.051898,0.011706,LogNormal
tiktok,0.31319,google,0.051898,0.011706,LogNormal
moloco,0.48164606,google,0.051898,0.011706,LogNormal
liveintent,0.49449772,google,0.051898,0.011706,LogNormal
beehiiv,0.6081324,google,0.051898,0.011706,LogNormal
amazon,1.4014485,google,0.051898,0.011706,LogNormal
meta,-0.016182942,google,0.051898,0.016722,Normal
google,0.038610324,google,0.051898,0.016722,Normal
snapchat,-0.047592822,google,0.051898,0.016722,Normal
tiktok,-0.077565365,google,0.051898,0.016722,Normal
moloco,0.09792562,google,0.051898,0.016722,Normal
liveintent,0.15419543,google,0.051898,0.016722,Normal
beehiiv,0.22287793,google,0.051898,0.016722,Normal
amazon,0.24999979,google,0.051898,0.016722,Normal
meta,0.44604105,google,0.051898,0.016722,LogNormal
google,1.0128636,google,0.051898,0.016722,LogNormal
snapchat,0.15696509,google,0.051898,0.016722,LogNormal
tiktok,0.3259299,google,0.051898,0.016722,LogNormal
moloco,0.4608446,google,0.051898,0.016722,LogNormal
