channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,baseline_mu,baseline_sigma,baseline_roi,pct_change,abs_pct_change
moloco,"google,meta,moloco",0.051898,0.006689,LogNormal,1.0527332,0.051898,0.016722,1.4225322,-25.995826315917487,25.995826315917487
liveintent,"google,meta,moloco",0.051898,0.006689,LogNormal,0.47116402,0.051898,0.016722,1.4225322,-66.87849877844593,66.87849877844593
beehiiv,"google,meta,moloco",0.051898,0.006689,LogNormal,0.7082914,0.051898,0.016722,1.4225322,-50.209113016914486,50.209113016914486
amazon,"google,meta,moloco",0.051898,0.006689,LogNormal,1.5538784,0.051898,0.016722,1.4225322,9.233267268044976,9.233267268044976
meta,"google,meta,moloco",0.051898,0.016722,Normal,0.037713032,0.051898,0.016722,0.12061889,-68.73372653321549,68.73372653321549
google,"google,meta,moloco",0.051898,0.016722,Normal,0.03784463,0.051898,0.016722,0.12061889,-68.62462421930762,68.62462421930762
snapchat,"google,meta,moloco",0.051898,0.016722,Normal,-0.04762619,0.051898,0.016722,0.12061889,-139.48485183373845,139.48485183373845
tiktok,"google,meta,moloco",0.051898,0.016722,Normal,-0.045953974,0.051898,0.016722,0.12061889,-138.09848855349273,138.09848855349273
moloco,"google,meta,moloco",0.051898,0.016722,Normal,0.050095726,0.051898,0.016722,0.12061889,-58.46776072968338,58.46776072968338
liveintent,"google,meta,moloco",0.051898,0.016722,Normal,0.032647714,0.051898,0.016722,0.12061889,-72.93316660433537,72.93316660433537
beehiiv,"google,meta,moloco",0.051898,0.016722,Normal,0.3010251,0.051898,0.016722,0.12061889,149.5671283328838,149.5671283328838
amazon,"google,meta,moloco",0.051898,0.016722,Normal,0.12061889,0.051898,0.016722,0.12061889,0.0,0.0
meta,"google,meta,moloco",0.051898,0.016722,LogNormal,1.0513003,0.051898,0.016722,1.4225322,-26.096555143004842,26.096555143004842
google,"google,meta,moloco",0.051898,0.016722,LogNormal,1.016034,0.051898,0.016722,1.4225322,-28.5756765295014,28.5756765295014
snapchat,"google,meta,moloco",0.051898,0.016722,LogNormal,0.16796303,0.051898,0.016722,1.4225322,-88.192672896965,88.192672896965
tiktok,"google,meta,moloco",0.051898,0.016722,LogNormal,0.2954849,0.051898,0.016722,1.4225322,-79.2282452376122,79.2282452376122
moloco,"google,meta,moloco",0.051898,0.016722,LogNormal,1.050615,0.051898,0.016722,1.4225322,-26.14472979943793,26.14472979943793
liveintent,"google,meta,moloco",0.051898,0.016722,LogNormal,0.4941342,0.051898,0.016722,1.4225322,-65.26375993457302,65.26375993457302
beehiiv,"google,meta,moloco",0.051898,0.016722,LogNormal,0.71315676,0.051898,0.016722,1.4225322,-49.867091936477784,49.867091936477784
amazon,"google,meta,moloco",0.051898,0.016722,LogNormal,1.4225322,0.051898,0.016722,1.4225322,0.0,0.0
meta,"google,meta,moloco",0.051898,0.033445,Normal,0.015963808,0.051898,0.016722,0.12061889,-86.76508463972766,86.76508463972766
google,"google,meta,moloco",0.051898,0.033445,Normal,0.008563754,0.051898,0.016722,0.12061889,-92.90015519128056,92.90015519128056
snapchat,"google,meta,moloco",0.051898,0.033445,Normal,-0.024101164,0.051898,0.016722,0.12061889,-119.98125169283188,119.98125169283188
tiktok,"google,meta,moloco",0.051898,0.033445,Normal,-0.03143225,0.051898,0.016722,0.12061889,-126.05914380409237,126.05914380409237
moloco,"google,meta,moloco",0.051898,0.033445,Normal,0.050845366,0.051898,0.016722,0.12061889,-57.84626603677086,57.84626603677086
liveintent,"google,meta,moloco",0.051898,0.033445,Normal,0.18593954,0.051898,0.016722,0.12061889,54.15457728055694,54.15457728055694
beehiiv,"google,meta,moloco",0.051898,0.033445,Normal,0.32618824,0.051898,0.016722,0.12061889,170.4288192338696,170.4288192338696
amazon,"google,meta,moloco",0.051898,0.033445,Normal,0.17552383,0.051898,0.016722,0.12061889,45.5193543896814,45.5193543896814
meta,"google,meta,moloco",0.051898,0.033445,LogNormal,1.0406678,0.051898,0.016722,1.4225322,-26.84398989351524,26.84398989351524
google,"google,meta,moloco",0.051898,0.033445,LogNormal,0.9210342,0.051898,0.016722,1.4225322,-35.253894428540875,35.253894428540875
snapchat,"google,meta,moloco",0.051898,0.033445,LogNormal,0.16522005,0.051898,0.016722,1.4225322,-88.38549665167508,88.38549665167508
tiktok,"google,meta,moloco",0.051898,0.033445,LogNormal,0.29035217,0.051898,0.016722,1.4225322,-79.58906167466718,79.58906167466718
moloco,"google,meta,moloco",0.051898,0.033445,LogNormal,1.0393741,0.051898,0.016722,1.4225322,-26.934933353353962,26.934933353353962
liveintent,"google,meta,moloco",0.051898,0.033445,LogNormal,0.48304152,0.051898,0.016722,1.4225322,-66.04354404069025,66.04354404069025
beehiiv,"google,meta,moloco",0.051898,0.033445,LogNormal,0.69387335,0.051898,0.016722,1.4225322,-51.222661251534404,51.222661251534404
