channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_mean,roi_range_over_sigma
google,2.5,3,0.0164874147018417,0.0168735665502673,0.0155077113896065,0.0186255735593537,,16979636.487356007,17377316.665465124,0.0031178621697472014
google,3.0,3,0.0172577599009188,0.01692638381740023,0.0155519924673717,0.0179693990839102,,17772979.87603464,17431710.76013617,0.0024174066165384995
liveintent,0.5,3,0.1033058214839547,0.10325679411620103,0.1021999410221663,0.1042646198424821,,8281927.484442187,8281927.484442187,0.0020646788203158017
liveintent,1.0,3,0.1032163177213321,0.10334325308407033,0.1024235305578137,0.1043899109730652,,8236529.759406968,8246659.038534492,0.0019663804152515035
liveintent,1.5,3,0.1015509902080521,0.10084580480871307,0.0976839893357828,0.1033024348823043,,8103638.759949669,8047365.869618155,0.005618445546521494
liveintent,2.0,3,0.0995573992227825,0.09995243449669533,0.0982958144058162,0.1020040898614873,,7944552.7564885635,7976076.0646381825,0.003708275455671109
liveintent,2.5,3,0.1008807903621345,0.09938706442778407,0.0937623880279716,0.1035180148932461,,8050157.671905493,7930960.258334785,0.009755626865274494
liveintent,3.0,3,0.0997375641336354,0.09724093636640137,0.0916672795681127,0.100317965397456,,7958929.685278516,7759701.991857954,0.008650685829343294
meta,0.5,3,0.018110017456056,0.02053914431146237,0.0142268546335981,0.029280560844733,,1358404.2936212672,1358404.2936212672,0.0150537062111349
meta,1.0,3,0.032282392316653,0.03865381107109387,0.0238717303498803,0.0598073105467483,,2712231.4248407395,3247531.349242557,0.035935580196868
meta,1.5,3,0.0487444552453234,0.06163911482681409,0.034823332161953,0.1013495570731659,,4095305.019724639,5178660.323337057,0.0665262249112129
meta,2.0,3,0.0676667802004764,0.09373072787498431,0.0451820241877188,0.1683433792367577,,5685079.528100821,7874863.272899021,0.12316135504903891
meta,2.5,3,0.0903944223963966,0.14538416263699114,0.0579719195716703,0.2877861459429065,,7594560.856859489,12214568.570706425,0.22981422637123622
meta,3.0,3,0.1200437089179952,0.22242188180693315,0.0724355955608189,0.4747863409419854,,10085569.758529516,18686955.151641075,0.4023507453811665
moloco,0.5,3,0.0747210042749065,0.07346889274970933,0.0709003097071157,0.0747853642671058,,6295971.896999554,6295971.896999554,0.0038850545599901087
moloco,1.0,3,0.072094821021116,0.07051396481317669,0.0670060266538833,0.0724410467645308,,6072075.343607963,5938930.162497017,0.00543502011064749
moloco,1.5,3,0.0698334357530499,0.06860068388503143,0.0656586901455496,0.0703099257564948,,5881613.649770057,5777787.020942043,0.004651235610945201
moloco,2.0,3,0.0673559608357027,0.06784263822043103,0.0664076986253106,0.0697642552002798,,5672952.137792309,5713941.791504536,0.003356556574969208
moloco,2.5,3,0.0680851904287313,0.06807265110132797,0.0661214692657813,0.0700112936094713,,5734370.3779508,5733314.272398795,0.003889824343689993
moloco,3.0,3,0.0657166344167975,0.06873719685180626,0.0656398584041744,0.0748550977344469,,5534882.393150819,5789284.61546958,0.009215239330272504
snapchat,0.5,3,0.0317409450186338,0.031307549603516165,0.03020469453244,0.0319770092594747,,13834559.82112978,13834559.82112978,0.0017723147270347003
snapchat,1.0,3,0.0304320002694536,0.029984230066830635,0.0290388396428897,0.0304818502881486,,13214904.118446892,13020462.732985301,0.0014430106452589
snapchat,1.5,3,0.0295174331237406,0.0290236403357832,0.0277258011442609,0.0298276867393481,,12817759.105517516,12603332.702735586,0.0021018855950871995
snapchat,2.0,3,0.0288474438353053,0.028672212201636234,0.0278565832464179,0.0293126095231855,,12526820.484044576,12450727.25267786,0.0014560262767675976
snapchat,2.5,3,0.0287150606249148,0.02859374204889817,0.0282096655309821,0.0288564999907976,,12469333.910151549,12416652.083927473,0.0006468344598155006
snapchat,3.0,3,0.02812396387589,0.0281137291499827,0.0275478411624984,0.0286693824115597,,12212653.876176618,12208209.511023292,0.0011215412490612996
tiktok,0.5,3,0.0273980833403766,0.027755337410619335,0.0270794821282227,0.0287884467632587,,4774100.616535607,4774100.616535607,0.0017089646350360033
