channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi
snapchat,"google,meta,moloco",0.103795,0.016722,LogNormal,0.16918582
tiktok,"google,meta,moloco",0.103795,0.016722,LogNormal,0.2983064
moloco,"google,meta,moloco",0.103795,0.016722,LogNormal,1.1056736
liveintent,"google,meta,moloco",0.103795,0.016722,LogNormal,0.49971244
beehiiv,"google,meta,moloco",0.103795,0.016722,LogNormal,0.71701276
amazon,"google,meta,moloco",0.103795,0.016722,LogNormal,1.4430689
meta,"google,meta,moloco",0.103795,0.033445,Normal,0.0427755
google,"google,meta,moloco",0.103795,0.033445,Normal,0.04466731
snapchat,"google,meta,moloco",0.103795,0.033445,Normal,-0.07351187
tiktok,"google,meta,moloco",0.103795,0.033445,Normal,-0.057224356
moloco,"google,meta,moloco",0.103795,0.033445,Normal,0.092491396
liveintent,"google,meta,moloco",0.103795,0.033445,Normal,0.010716889
beehiiv,"google,meta,moloco",0.103795,0.033445,Normal,0.27852798
amazon,"google,meta,moloco",0.103795,0.033445,Normal,0.08681771
meta,"google,meta,moloco",0.103795,0.033445,LogNormal,1.0957128
google,"google,meta,moloco",0.103795,0.033445,LogNormal,0.9671482
snapchat,"google,meta,moloco",0.103795,0.033445,LogNormal,0.16723754
tiktok,"google,meta,moloco",0.103795,0.033445,LogNormal,0.29749966
moloco,"google,meta,moloco",0.103795,0.033445,LogNormal,1.0965713
liveintent,"google,meta,moloco",0.103795,0.033445,LogNormal,0.48974237
beehiiv,"google,meta,moloco",0.103795,0.033445,LogNormal,0.70562625
amazon,"google,meta,moloco",0.103795,0.033445,LogNormal,1.4122945
