targets,prior_key,channel,roi_baseline,roi_new,delta_abs,delta_pct
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",google,0.05148839,-0.00815084,0.05963923,1.1583044255219477
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",snapchat,0.11643101,-0.028747529,0.145178539,1.2469061206288599
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",tiktok,1.0426579,0.018729951,1.023927949,0.982036340970514
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",moloco,0.32956377,0.12213434,0.20742942999999997,0.6294060478795955
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",liveintent,0.36816603,0.2503307,0.11783532999999996,0.32006029996846797
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",beehiiv,0.49058422,0.27492642,0.2156578,0.4395938377308589
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",amazon,1.4223278,0.15252051,1.26980729,0.8927669767827079
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",meta,1.0515972,1.0215431,0.030054100000000084,0.028579478910746525
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",google,0.05148839,0.057555676,0.006067285999999998,0.11783794366069711
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",snapchat,0.11643101,0.10431534,0.012115669999999995,0.10405878983614414
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",tiktok,1.0426579,1.010042,0.03261589999999992,0.03128149702793215
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",moloco,0.32956377,0.36154452,0.03198075,0.0970396412202712
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",liveintent,0.36816603,0.32978734,0.03837868999999999,0.10424288737339504
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",beehiiv,0.49058422,0.5020849,0.01150067999999993,0.023442824964895692
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}",amazon,1.4223278,1.3539326,0.06839519999999988,0.04808680530606224
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",meta,1.0515972,0.042961106,1.008636094,0.9591468044989089
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",google,0.05148839,-0.03215399,0.08364238,1.6244901034971184
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",snapchat,0.11643101,-0.035198413,0.15162942299999999,1.3023113258229058
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",tiktok,1.0426579,0.053060554,0.989597346,0.9491102939900038
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",moloco,0.32956377,0.10995889,0.21960487999999997,0.6663501877041884
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",liveintent,0.36816603,0.3928677,0.02470167000000001,0.06709383263849733
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",beehiiv,0.49058422,0.33504543,0.15553879000000004,0.31704809013221014
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.011706}}",amazon,1.4223278,0.046933673,1.3753941269999999,0.967002210742137
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",meta,1.0515972,0.03636632,1.01523088,0.9654180136653083
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",google,0.05148839,-0.028505092,0.079993482,1.553621738803641
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",snapchat,0.11643101,-0.019481808,0.135912818,1.1673249076856758
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",tiktok,1.0426579,0.04736448,0.99529342,0.9545733264956799
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",moloco,0.32956377,0.07392092,0.25564285,0.7757007088491553
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",liveintent,0.36816603,0.30568725,0.062478779999999956,0.1697027289562808
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",beehiiv,0.49058422,0.27527747,0.21530675,0.4388782623297586
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",amazon,1.4223278,0.039748184,1.382579616,0.9720541326689951
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",meta,1.0515972,1.0429614,0.008635799999999971,0.008212079682220486
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",google,0.05148839,0.057187952,0.005699561999999998,0.11069606177237223
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",snapchat,0.11643101,0.10596824,0.010462769999999996,0.0898624000599153
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",tiktok,1.0426579,1.0426736,1.5700000000062886e-05,1.5057671360896308e-05
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",moloco,0.32956377,0.3936867,0.06412293000000002,0.19456911176856617
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",liveintent,0.36816603,0.32868296,0.039483069999999953,0.107242566621369
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",beehiiv,0.49058422,0.48075953,0.009824690000000025,0.02002651043280601
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}",amazon,1.4223278,1.3912275,0.03110029999999986,0.021865775245340724
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",meta,1.0515972,0.01969207,1.03190513,0.9812741323388842
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",google,0.05148839,-0.027406147,0.078894537,1.5322781893160768
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",snapchat,0.11643101,-0.018267546,0.134698556,1.1568958819476014
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",tiktok,1.0426579,0.0405825,1.0020754,0.9610778377068835
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",moloco,0.32956377,0.1109005,0.21866326999999997,0.6634930471878022
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",liveintent,0.36816603,0.33246106,0.03570497,0.09698062040107291
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",beehiiv,0.49058422,0.18242659,0.30815763,0.6281441950986519
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",amazon,1.4223278,0.18497643,1.2373513699999998,0.8699481019776172
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",meta,1.0515972,1.0384215,0.013175699999999901,0.012529226970174445
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",google,0.05148839,0.05716365,0.005675260000000001,0.11022407187329031
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",snapchat,0.11643101,0.106842875,0.009588134999999998,0.08235035494409948
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.023411}}",tiktok,1.0426579,1.0280993,0.014558599999999977,0.01396296906204808
