channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,targets,prior_key,roi_prior_overrides_json
amazon,0.21087281,"meta,tiktok",0.036328,0.016722,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
meta,1.0347847,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
google,0.056465924,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
snapchat,0.09652074,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
tiktok,1.0268066,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
moloco,0.35032827,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
liveintent,0.34133244,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
beehiiv,0.4423793,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
amazon,1.1878667,"meta,tiktok",0.036328,0.016722,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.016722}}"
meta,0.016287414,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
